firstname,secondname,city
Dana,Lennon,NewYork
Scott,Ono,Hamburg
Johanna,Preston,Munchen
Scott,Sutcliffe,Munchen
Albert,Starr,Munchen
Johanna,Ono,Munchen
Albert,McCartney,Kiel
Dana,Starr,Munchen
Dana,Starr,Munchen
Johanna,Lennon,NewYork
Michael,Sutcliffe,Hamburg
Albert,Ono,Hamburg
Dana,Ono,Haifa
Scott,Preston,London
Michael,Starr,NewYork
Johanna,Sutcliffe,Munchen
Michael,Preston,TelAviv
Albert,Starr,Munchen
Steven,Lennon,Haifa
Dana,Sutcliffe,NewYork
Scott,Harrison,NewYork
Steven,Preston,Kiel
Steven,Ono,PaloAlto
Marc,Harrison,PaloAlto
Albert,Ono,TelAviv
Dana,Harrison,Hamburg
Michael,Ono,TelAviv
Dana,Harrison,Kiel
Scott,Harrison,PaloAlto
Dana,Starr,Haifa
Dana,Epstein,Hamburg
Marc,Ono,Hamburg
Marc,Starr,Munchen
John,Starr,Hamburg
Steven,Harrison,TelAviv
Michael,Sutcliffe,Kiel
Scott,Lennon,Haifa
Dana,Epstein,Munchen
Scott,Sutcliffe,Munchen
Albert,Epstein,Kiel
Michael,Starr,Haifa
John,Lennon,TelAviv
Scott,Ono,TelAviv
Johanna,Preston,Haifa
Michael,Preston,Kiel
John,McCartney,PaloAlto
Steven,Starr,London
Steven,Harrison,PaloAlto
Marc,Ono,Munchen
Dana,Epstein,Hamburg
Albert,Preston,TelAviv
Marc,Sutcliffe,Munchen
Scott,McCartney,Munchen
Michael,Epstein,Hamburg
Albert,Harrison,London
Johanna,Lennon,Munchen
Albert,Epstein,TelAviv
Scott,Lennon,Kiel
John,Starr,Munchen
Steven,Sutcliffe,London
Steven,Preston,Kiel
Scott,Lennon,TelAviv
Johanna,Harrison,London
Michael,Sutcliffe,NewYork
Scott,Ono,TelAviv
Scott,Epstein,TelAviv
Michael,Sutcliffe,NewYork
Albert,Epstein,Haifa
Marc,Starr,PaloAlto
Scott,Preston,TelAviv
Steven,Preston,TelAviv
Johanna,McCartney,Hamburg
Michael,Harrison,London
Albert,Lennon,NewYork
Scott,Preston,Hamburg
